"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"254","The Burnt Orange Heresy",2020,"Winter",98,718886742336.425,862664090803.709,"Thriller","R",67,0
"255","Hidalgo",2004,"Winter",136,166066701.958708,179518104.817364,"Other","PG-13",46,0
"256","Did You Hear About the Morgans?",2009,"Fall",103,84823310.02331,124748764.568765,"Comedy","PG-13",13,0
"257","Lawless",2012,"Summer",115,35523519.1637631,74326132.4041812,"Crime","R",78,0
"258","Saving Christmas
",2014,"Fall",79,662653147444.022,3710857.62568652,"Comedy","PG",0,0
"259","I Origins",2014,"Summer",106,1325306.29488804,1129689760456.27,"Sci-Fi","R",77,0
"260","Rita Moreno: Just a Girl Who Decided to Go for It",2021,"Summer",90,255268069495.695,306321683394.834,"Other","PG-13",98,0
"261","Bee Season",2005,"Fall",104,22487455.1971326,11083102.9185868,"Drama","PG-13",44,0
"262","Three Christs",2020,"Winter",109,38170065687.7898,45804078825.3478,"Drama","R",41,0
"263","Jigsaw",2017,"Fall",92,12798857.6091391,133364096.28723,"Horror","R",33,1
"264","Rush Hour 3",2007,"Summer",91,325352146.647371,390422575.976845,"Action","PG-13",18,1
"265","Marshall",2017,"Fall",118,15358629.130967,12926846.1852305,"Drama","PG-13",84,0
"266","Gringo",2018,"Winter",110,11451944.7763175,13742333.731581,"Action","R",60,0
"267","Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland",2008,"Winter",100,733246430562.006,879895716674.408,"Other","R",81,0
"268","Jennifer's Body",2009,"Summer",102,23399533.7995338,46214079.2540793,"Horror","R",45,0
"269","Behind the Burly Q",2010,"Spring",98,28633575194.8647,34360290233.8377,"Other","R",77,0
"270","12 Rounds",2009,"Winter",109,29249417.2494172,25300745.9207459,"Action","PG-13",30,0
"271","Mission: Impossible – Rogue Nation
",2015,"Summer",131,198544303.797468,940967637.130802,"Action","PG-13",94,1
"272","Forever My Girl",2018,"Winter",104,4372560.73277579,20488570.2907208,"Romance","PG",23,0
"273","Star Trek Beyond",2016,"Summer",122,241810416.666667,448983125,"Sci-Fi","PG-13",86,1
"274","The Irishman",2019,"Fall",209,348419241.298397,9814626.51544779,"Crime","R",95,0
"275","Arthur",2011,"Spring",110,55793686.0827034,67091907.5144509,"Comedy","PG-13",27,1
"276","Lions for Lambs",2007,"Fall",92,52964302.9425953,95638398.4563435,"Drama","R",28,0
"277","The Eternal Daughter",2022,"Fall",96,507587749117.413,609105298940.895,"Horror","PG-13",94,0
