index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
150,Open Water,2004,Summer,79.0,500000000000.0,55500000.0,Thriller,R,71.0,0.0
151,American Fiction,2023,Fall,117.0,10000000.0,23000000.0,Comedy,R,94.0,0.0
152,Silent House,2012,Winter,87.0,2000000.0,13100000.0,Horror,R,13.0,0.0
153,Marmaduke,2022,Spring,88.0,1250000.0,1500000.0,Animation,PG,0.0,1.0
154,Surveillance,2009,Spring,97.0,916666.6666666667,1100000.0,Mystery,R,65.0,0.0
155,The Children Act,2018,Summer,105.0,14750000.0,17700000.0,Drama,PG-13,84.0,0.0
156,Someone Like You,2001,Winter,97.0,23000000.0,38600000.0,Comedy,PG-13,23.0,0.0
157,Fat Albert,2004,Fall,93.0,45000000.0,48600000.0,Comedy,PG,23.0,0.0
158,Celeste and Jesse Forever,2012,Summer,92.0,840000000000.0,3600000.0,Comedy,R,81.0,0.0
159,Hellboy II: The Golden Army,2008,Summer,120.0,125000000.0,168300000.0,Action,PG-13,86.0,1.0
160,Maid in Manhattan,2002,Fall,105.0,55000000.0,154900000.0,Comedy,PG-13,30.0,0.0
161,Price of Glory,2000,Winter,118.0,18000000.0,3500000.0,Drama,PG-13,22.0,0.0
162,Woman Walks Ahead,2018,Spring,102.0,5000000.0,970556000000.0,Biography,R,52.0,0.0
163,The Beach Bum,2019,Winter,95.0,5000000.0,4600000.0,Comedy,R,56.0,0.0
164,Elysium,2013,Summer,109.0,115000000.0,286100000.0,Sci-Fi,R,65.0,0.0
165,The Seeker,2007,Fall,99.0,45000000.0,31800000.0,Fantasy,PG,15.0,0.0
166,Coming 2 America,2021,Spring,110.0,60000000.0,72000000.0,Comedy,PG-13,49.0,1.0
167,Brüno,2009,Summer,82.0,42000000.0,138800000.0,Comedy,R,69.0,0.0
168,The Muppets,2011,Fall,103.0,45000000.0,171800000.0,Musical,PG,95.0,0.0
169,Shorts: The Adventures of the Wishing Rock,2009,Summer,89.0,20000000.0,29000000.0,Adventure,PG,44.0,0.0
170,Rugrats Go Wild,2003,Spring,80.0,25000000.0,55400000.0,Animation,PG,40.0,1.0
171,Edge of Darkness,2010,Winter,117.0,80000000.0,81100000.0,Action,R,55.0,0.0
172,The Amazing Spider-Man,2012,Summer,136.0,315000000.0,758700000.0,Action,PG-13,72.0,0.0
173,Wonder Woman 1984,2020,Fall,151.0,200000000.0,169600000.0,Action,PG-13,58.0,1.0
174,"Life
",2017,Winter,104.0,58000000.0,100500000.0,Sci-Fi,R,48.0,0.0
175,Dr. Dolittle 2,2001,Spring,87.0,70000000.0,176100000.0,Comedy,PG,42.0,1.0
176,Elektra,2005,Winter,97.0,75500000.0,57000000.0,Action,PG-13,11.0,0.0
177,Gone Girl,2014,Fall,149.0,61000000.0,370900000.0,Thriller,R,87.0,0.0
178,Panic,2000,Fall,88.0,649280833333.3334,779137000000.0,Drama,R,84.0,0.0
