"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"Kit Kittredge: An American Girl",2008,"Spring",101,80,0,16.4945003617846,"PG","Drama",17.0654799083704
"Stone",2010,"Fall",105,48,0,17.2700364533116,"R","Drama",16.5111378951889
"Timeline",2003,"Fall",116,11,0,18.7310385502258,"PG-13","Sci-Fi",18.130926235633
"Play the Game",2009,"Winter",105,38,0,27.4125278517023,"PG-13","Comedy",27.5948494084962
"The Burnt Orange Heresy",2020,"Winter",98,67,0,27.3009696611699,"R","Thriller",27.4832912179638
"Hidalgo",2004,"Winter",136,46,0,18.9279000846415,"PG-13","Other",19.0057866232986
"Did You Hear About the Morgans?",2009,"Fall",103,13,0,18.2560809453393,"PG-13","Comedy",18.6418123892905
"Lawless",2012,"Summer",115,78,0,17.385705546737,"R","Crime",18.1239731625774
"Saving Christmas",2014,"Fall",79,0,0,27.2195175340453,"PG","Comedy",15.1267735738221
"I Origins",2014,"Summer",106,77,0,14.097154156641,"R","Sci-Fi",27.7529641626887
"Rita Moreno: Just a Girl Who Decided to Go for It",2021,"Summer",90,98,0,26.2655800828497,"PG-13","Other",26.4479016396437
"Bee Season",2005,"Fall",104,44,0,16.9284681648935,"PG-13","Drama",16.2209322468815
"Three Christs",2020,"Winter",109,41,0,24.3653174246292,"R","Drama",24.5476389814232
"Jigsaw",2017,"Fall",92,33,1,16.3648664756209,"R","Horror",18.7085935119461
"Rush Hour 3",2007,"Summer",91,18,1,19.6004186818468,"PG-13","Action",19.7827402386408
"Marshall",2017,"Fall",118,84,0,16.5471880324148,"PG-13","Drama",16.3748168064741
"Gringo",2018,"Winter",110,60,0,16.2536701230018,"R","Action",16.4359916797957
"Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland",2008,"Winter",100,81,0,27.3207476768235,"R","Other",27.5030692336175
"Jennifer's Body",2009,"Summer",102,45,0,16.9682266570326,"R","Horror",17.6487950553857
"Behind the Burly Q",2010,"Spring",98,77,0,24.0778458240849,"R","Other",24.2601673808789
"12 Rounds",2009,"Winter",109,30,0,17.1913702083468,"PG-13","Action",17.0463444362966
"Mission: Impossible – Rogue Nation",2015,"Summer",131,94,1,19.106522826122,"PG-13","Action",20.6624193049612
"Forever My Girl",2018,"Winter",104,23,0,15.2908593754927,"PG","Romance",16.8353777418275
"Star Trek Beyond",2016,"Summer",122,86,1,19.3036645748972,"PG-13","Sci-Fi",19.9224958614813
"The Irishman",2019,"Fall",209,95,0,19.668917029025,"R","Crime",16.0993843325436
"Arthur",2011,"Spring",110,27,1,17.8371712683096,"PG-13","Comedy",18.0215739913074
